1333113469	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333113644	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333113686	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333113728	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333113770	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333113943	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333113985	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333114027	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333114069	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333114244	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333114286	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333114328	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333114370	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333155001	2	1	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333155001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333155001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333155001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333155302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333155302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333155302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333155302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333155602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333155602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333155602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333155602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333155904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333155904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333155904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333155904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333156202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333156202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333156202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333156202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333156501	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333156501	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333156501	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333156502	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333156801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333156801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333156801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333156801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333157102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333157102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333157102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333157102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333157402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333157402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333157402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333157402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333157704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333157704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333157704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333157704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333158001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333158302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333158302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333158302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333158302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333158602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333158602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333158602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333158602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333158902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333158902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333158902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333158902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333159202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333159202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333159202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333159202	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333159504	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333159504	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333159504	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333159504	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333159801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333159801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333159801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333159801	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333160102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333160102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333160102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333160102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333160402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333160402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333160402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333160402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333160702	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333160702	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333160702	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333160702	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333161001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333161001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333161001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333161001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333161305	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333161305	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333161305	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333161305	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333161602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333161602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333161602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333161602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333161902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333161902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
