1330389784	2	1	DISK USAGE
1330411384	2	1	DISK USAGE
1330432984	2	1	DISK USAGE
1330454585	2	1	DISK USAGE
1330476183	2	1	DISK USAGE
1330497783	2	1	DISK USAGE
1330519383	2	1	DISK USAGE
1330540983	2	1	DISK USAGE
1330562583	2	1	DISK USAGE
1330584184	2	1	DISK USAGE
1330605783	2	1	DISK USAGE
1330648983	2	1	DISK USAGE
1330670583	2	1	DISK USAGE
1330692183	2	1	DISK USAGE
1330713783	2	1	DISK USAGE
1330735383	2	1	DISK USAGE
1330756983	2	1	DISK USAGE
1330778583	2	1	DISK USAGE
1330800184	2	1	DISK USAGE
1330821783	2	1	DISK USAGE
1330843383	2	1	DISK USAGE
1330864983	2	1	DISK USAGE
